Field	Rating	Entries	P(Woman)
Groundskeeper, Sr.	0.0910863079881026	13	0.007006639076007893
Arts	5.029734065621671	12	0.4191445054684726
Undeclared	5.299217061884202	12	0.4416014218236835
Chemical and Biological Engineering	3.1152832339510246	12	0.2596069361625854
School of Humanities, Arts and  Social Sciences	4.639411632519386	11	0.4217646938653987
Information Technologies Infrastructure	4.01259779811096	11	0.3647816180100873
Visiting Researcher	1.675747485025333	11	0.15234068045684845
Health Center	8.98346446782513	11	0.8166785879841026
Human Resources	8.92859832409687	11	0.811690756736079
Science and Technology Studies	6.007194511959001	11	0.5461085919962728
Science, Tech and Society	5.968925938635369	11	0.5426296307850336
Decision Sciences and Engr Syst	2.4590618869594536	10	0.24590618869594535
Enrollment Operations	7.989098166270643	10	0.7989098166270643
Registrar	7.794843657672302	10	0.7794843657672301
Integrated Admn Computing Services	4.300495167689212	10	0.43004951676892117
Applied Mathematics	2.0256627725849405	10	0.20256627725849405
Admissions (Undergraduate)	7.0832826501006	9	0.7870314055667333
Rensselaer Libraries	6.565724044788883	9	0.7295248938654315
Executive Assistant	7.656188416439295	8	0.9570235520549119
Sustainability Studies	5.944854063975659	8	0.7431067579969574
Science & Technology Studies	1.8073416602676933	8	0.22591770753346166
Environmental Science	5.9716931645315965	8	0.7464616455664496
Darrin Fresh Water Institute	2.0103770239519427	8	0.25129712799399284
Communication	4.108500318266677	8	0.5135625397833347
Technical Communication	4.999026733867514	8	0.6248783417334393
Research Scientist	1.0096105082945086	7	0.14423007261350124
Earth and Environmental Sciences	2.9041217774836814	7	0.4148745396405259
Industrial & Systems Engineering	0.12089108566771381	7	0.017270155095387686
Communication and Media	5.312889943985983	7	0.7589842777122833
Procurement Services	3.9741128327510777	7	0.5677304046787254
Financial Aid (Troy)	4.0040956882025425	7	0.5720136697432203
Electrician, Sr.	0.026884900812464255	7	0.003840700116066322
Enrollment	4.008421681494497	7	0.5726316687849281
Business Analytics	0.3186562286329998	7	0.04552231837614283
Public Safety Officer I	2.114689890763037	7	0.302098555823291
Business Administrator	5.672385537958722	7	0.8103407911369603
Professor & Department Head	0.8169395965307555	7	0.11670565664725079
ERC Smart Lighting	4.451944142499681	7	0.6359920203570972
Operations Assistant	6.639560953060041	7	0.9485087075800058
Nuclear Engineering and Science	1.0401800715307832	7	0.14859715307582616
Environmental Specialist	2.021567201787808	7	0.2887953145411154
Athletics Associate	3.0037450365895166	6	0.5006241727649194
Advancement Strategy, Services and Infrastructure	5.673423731749071	6	0.9455706219581784
Research Assistant	0.014851118420771761	6	0.0024751864034619603
Repairer, Sr.	0.01715763120289917	6	0.002859605200483195
